Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,297.126312,320.279510,296.663025,299.059052,299.059052,120418473
2011-02-01,301.116333,314.411499,299.552216,305.554718,305.554718,84051871
2011-03-01,307.736542,308.453827,274.610687,292.284454,292.284454,120728830
2011-04-01,293.280701,296.483704,258.530975,271.034088,271.034088,141009966
2011-05-01,271.831116,271.846039,255.741425,263.522247,263.522247,90995598
2011-06-01,263.034088,265.604462,235.626816,252.244522,252.244522,118693431
2011-07-01,252.423859,312.578369,252.244522,300.717834,300.717834,162718633
2011-08-01,304.468781,306.600800,244.513504,269.469971,269.469971,214351641
2011-09-01,269.365356,278.217163,254.296829,256.558350,256.558350,117698917
2011-10-01,253.973053,300.224670,239.402664,295.213470,295.213470,155009844
2011-11-01,288.966888,307.995544,279.616913,298.575867,298.575867,121053042
2011-12-01,298.879730,322.172424,298.381592,321.744019,321.744019,110507664
2012-01-01,325.250885,333.873566,281.220917,288.971863,288.971863,147837262
2012-02-01,291.377838,311.631927,288.488678,307.970642,307.970642,95084269
2012-03-01,309.968170,328.065338,295.811218,319.422729,319.422729,95015210
2012-04-01,319.188599,325.350494,293.998016,301.295685,301.295685,118196775
2012-05-01,300.767639,317.734070,288.418945,289.345459,289.345459,117786446
2012-06-01,284.827393,292.847351,277.220917,288.951935,288.951935,93357219
2012-07-01,289.823669,320.100189,279.995514,315.303162,315.303162,102957667
2012-08-01,317.460083,343.208557,310.541016,341.265839,341.265839,94479411
2012-09-01,340.996857,381.016846,335.492493,375.841248,375.841248,120806320
2012-10-01,378.107758,385.744141,333.599579,338.879791,338.879791,144135840
2012-11-01,338.481293,348.304474,316.812500,347.881042,347.881042,93708329
2012-12-01,349.808838,363.188690,339.890991,352.369232,352.369232,83703570
2013-01-01,358.366760,379.054199,346.461365,376.434021,376.434021,105203254
2013-02-01,377.684357,402.974548,377.634521,399.104065,399.104065,93028192
2013-03-01,397.410400,420.424133,395.168823,395.612152,395.612152,85416766
2013-04-01,396.020630,412.274689,379.208618,410.745422,410.745422,107505854
2013-05-01,410.092865,458.581116,406.655762,433.983337,433.983337,99205057
2013-06-01,434.869995,453.719360,422.028137,438.541229,438.541229,97525384
2013-07-01,441.569885,462.267303,436.170135,442.217468,442.217468,102875163
2013-08-01,445.828918,453.156464,421.201233,421.868744,421.868744,67225234
