Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,23.070000,23.230000,20.110001,21.070000,14.186437,81436400
2011-02-01,21.139999,21.180000,19.190001,19.950001,13.432336,84658400
2011-03-01,19.950001,22.780001,19.420000,22.520000,15.162717,94092400
2011-04-01,22.680000,26.940001,22.469999,25.680000,17.290346,119277200
2011-05-01,26.160000,28.660000,24.549999,27.980000,18.838938,89401800
2011-06-01,27.920000,28.020000,25.650000,26.670000,17.956917,67526500
2011-07-01,26.709999,27.799999,23.010000,23.580000,15.876418,82272800
2011-08-01,23.809999,24.049999,18.340000,23.930000,16.112074,117255700
2011-09-01,23.840000,25.080000,21.570000,23.100000,15.553229,65597900
2011-10-01,23.000000,26.660000,22.160000,25.570000,17.216286,78771400
2011-11-01,24.900000,25.889999,21.459999,23.120001,15.566702,85591700
2011-12-01,23.100000,24.750000,22.639999,24.129999,16.246731,51209300
2012-01-01,24.430000,25.280001,22.650000,23.360001,15.728292,70002400
2012-02-01,23.440001,25.860001,22.540001,22.780001,15.337778,70872800
2012-03-01,22.889999,25.770000,21.820000,21.840000,14.802215,90649100
2012-04-01,21.740000,22.790001,20.940001,22.760000,15.425751,61816700
2012-05-01,22.760000,23.080000,18.129999,19.180000,12.999379,88640900
2012-06-01,18.770000,19.780001,17.100000,18.360001,12.542221,74843800
2012-07-01,18.440001,18.690001,15.470000,16.020000,10.943704,46284500
2012-08-01,16.040001,19.590000,15.320000,19.080000,13.034074,96753100
2012-09-01,19.850000,23.790001,19.830000,21.000000,14.537981,63370000
2012-10-01,21.420000,24.490000,21.049999,22.830000,15.804864,55791800
2012-11-01,22.840000,28.000000,21.410000,26.250000,18.172478,78022100
2012-12-01,26.450001,28.350000,23.920000,25.090000,17.531330,55171400
2013-01-01,25.580000,25.870001,22.299999,23.200001,16.210720,81362200
2013-02-01,24.290001,27.010000,23.459999,25.059999,17.510372,66812300
2013-03-01,24.639999,28.670000,23.360001,27.969999,19.543694,50780100
2013-04-01,28.000000,35.419998,27.930000,34.900002,24.656525,77720700
2013-05-01,34.950001,39.869999,30.940001,33.160000,23.427233,88798600
2013-06-01,33.180000,42.840000,33.160000,42.029999,29.939573,89493000
2013-07-01,42.000000,49.520000,41.660000,49.060001,34.947311,45527200
2013-08-01,49.520000,56.080002,47.040001,50.209999,35.766499,58152400
2013-09-01,50.770000,53.279999,48.650002,49.650002,35.563587,36175100
2013-10-01,49.590000,56.000000,47.730000,54.820000,39.266788,37844800
2013-11-01,55.090000,57.740002,46.660000,48.250000,34.560783,68025000
2013-12-01,48.500000,51.549999,44.869999,49.259998,35.284222,69471300
2014-01-01,49.150002,50.000000,34.700001,35.070000,25.264132,129150400
2014-02-01,34.970001,39.000000,33.099998,37.310001,26.877808,73240100
2014-03-01,37.049999,41.570000,35.270000,41.099998,29.608093,79060200
2014-04-01,41.049999,45.480000,38.970001,39.680000,28.832268,70854200
2014-05-01,39.880001,40.490002,35.099998,37.849998,27.502552,61350500
2014-06-01,37.680000,40.990002,35.889999,40.470001,29.406301,49287100
2014-07-01,40.509998,46.590000,40.279999,41.970001,30.764460,62979600
2014-08-01,41.990002,44.500000,39.400002,42.200001,30.933050,53760200
2014-09-01,42.290001,45.450001,41.189999,41.200001,30.432673,42676400
